id,nombre
1,Ingeniería de Datos Avanzada
2,Estructuras de Datos y Algoritmos
3,Programación Orientada a Objetos Avanzada
4,Desarrollo de Aplicaciones Empresariales
5,Bases de Datos No Relacionales
6,Análisis de Algoritmos
7,Inteligencia Artificial
8,Diseño de Sistemas Distribuidos
9,Programación Web Avanzada
10,Minería de Datos
11,Redes de Computadoras
12,Sistemas Operativos
13,Seguridad Informática
14,Desarrollo Ágil de Software
15,Ingeniería de Requisitos
16,Proyecto Integrador en Computación
17,Computación Cuántica
18,Realidad Virtual y Aumentada
19,Computación Móvil
20,Blockchain y Criptomonedas
21,Computación en la Nube
22,Diseño de Interfaz de Usuario
23,Desarrollo de Videojuegos
24,Robótica
25,Big Data Analytics
26,Ciberseguridad
27,Computación Forense
28,IoT: Internet de las cosas
29,Computación Biomédica
30,Arquitectura de Software